Thurrock |Liberal Democrats |Michael Bukola|None|1,157|3.1|-0.1
Basildon and Billericay|Liberal Democrats |Edward Sainsbury|None|2,292|5.3|
Harwich and North Essex|Liberal Democrats |Natalie Sommers|None|3,561|7.4|-3.3
South Basildon and East Thurrock|Liberal Democrats |Dave Thomas|None|1,071|2.7|
Maldon|Liberal Democrats |Simon Burwood|None|5,882|11.8|+0.1
Rayleigh and Wickford|Liberal Democrats |Stewart Mott|None|4,068|8.5|+0.8
Witham|Liberal Democrats |Ashley Thompson|None|3,439|6.8|-3.2
Castle Point|Liberal Democrats |James Willis|None|3,251||
Chelmsford|Liberal Democrats |Marie Goldman|winning|20,214|39.9|+13.8
Clacton|Liberal Democrats |Matthew Bensilum|None|2,016|4.4|
Colchester|Liberal Democrats |Martin Goss|None|6,393|14.2|-0.5
North West Essex|Liberal Democrats |Smita Rajesh|None|6,055|11.1|-8.6
South West Norfolk|Liberal Democrats |Josie Ratcliffe|None|2,618|5.9|
South Norfolk|Liberal Democrats |Christopher Brown|None|5,746|11.6|-5.4
North West Norfolk |Liberal Democrats |Rob Colwell|None|6,492|14.6|+6.9
Norwich South |Liberal Democrats |Sean Bennett|None|||
Great Yarmouth|Liberal Democrats |Fionna Tod|None|1,102|2.7|-1.1
Norwich North|Liberal Democrats |Chicka Bilikisu Akinwale|None|2,073|4.5|-1.7
Broadland and Fakenham|Liberal Democrats |Leyla Hannbeck|None|||
Mid Norfolk|Liberal Democrats |Stuart Howard|None|3,126|6.8|-3.6
North Norfolk|Liberal Democrats |Steffan Aquarone|winning|19,488|41.4|+11.0
Waveney Valley|Liberal Democrats |John Richard Shreeve|None|1,214|2.5|-6.7
South Suffolk|Liberal Democrats |Tom Bartleet|None|6,424|13.2|+0.5
Suffolk Coastal|Liberal Democrats |Julia Ewart|None|6,947|14.0|+4.5
Ipswich|Liberal Democrats |James Sandbach|None|3,652|5.1|
Central Suffolk and North Ipswich|Liberal Democrats |Brett Mickelburgh |None|||
Bury St Edmunds and Stowmarket|Liberal Democrats |Peter McDonald|None|3,154|6.2|5.1
West Suffolk|Liberal Democrats |Henry Batchelor|None|4,284|9.3|+0.3
Barrow and Furness|Liberal Democrats |Adrian Waite|None|1,680|4.0|
Birkenhead|Liberal Democrats |Stuart Kelly|None|||
Blackburn|Liberal Democrats |Adam Waller-Slack|None|689|1.8|-0.6
Blackpool South|Liberal Democrats |Andy Cregan|None|1,041||
Bootle|Liberal Democrats |John Gibson|None|||
West Lancashire|Liberal Democrats |Graham Smith|None|2043|4.6|-0.3
Liverpool Riverside |Liberal Democrats |Rebecca Turner|None|||
Liverpool Riverside |Liberal Party |Sean Weaver|None|||
Liverpool Wavertree|Liberal Democrats |Rob McAlister-Bell|None|||
Liverpool West Derby|Liberal Party |Steve Radford|None|2,336|6.1|+2.2
Liverpool West Derby|Liberal Democrats |Kayleigh Halpin|None|20423|53.8|
Morecambe and Lunesdale|Liberal Democrats |Peter Jackson|None|||
Preston|Liberal Democrats |Neil Darby|None|3,195|8.0|
South Ribble|Liberal Democrats |Angela Turner|None|2,972|6.4|
Ribble Valley|Liberal Democrats |John Potter|None|5,001|9.6|+1.6
Rossendale and Darwen|Liberal Democrats |Rowan Fitton|None|1,241|2.8|
St Helens North|Liberal Democrats |Pat Moloney|None|||
Sefton Central |Liberal Democrats |Gareth Lloyd-Johnson|None|||
Southport|Liberal Democrats |Erin Harvey|None|5,868|13|
St Helens South and Whiston|Liberal Democrats |Brian Spencer|None|||
Wallasey |Liberal Democrats |Vicky Downie|None|1,843|4.3|+0.4
Westmorland and Lonsdale|Liberal Democrats |Tim Farron|winning|31,061|62.7|+22.0
Wirral West|Liberal Democrats |Peter Reisdorf|None|3,055|6|
Carlisle|Liberal Democrats |Brian Wernham|None|2,982|6.5|+1.5
Burnley|Liberal Democrats |Gordon Birtwistle|None|||
Knowsley|Liberal Democrats |Kate Tipton|None|1,232|3.4|+0.9
Bolton West|Liberal Democrats |Donald McIntosh|None|1,966||
Bolton North East|Liberal Democrats |Rebecca Forrest|None|1,507|3.5|-0.9
Manchester Withington|Liberal Democrats |Richard Kilpatrick|None|5,412|13.0|
Whitehaven |Liberal Democrats |Chris Wills|None|13,286|31.7|
Penrith and Solway|Liberal Democrats |Julia Aglionby|None|4,742|9.6|+1.5
Chester South and Eddisbury|Liberal Democrats |Rob Herd|None|5,430|10.3|-5.0
Ellesmere Port and Bromborough|Liberal Democrats |Stephen Gribbon|None|||
Ellesmere Port and Bromborough|Liberal Democrats |Chris Carubia|None|2,328|5.5|-1.9
Bolton South and Walkden|Liberal Democrats |Gemma-Jane Bowker|None|1,384|3.7|-0.2
Worsley and Eccles|Liberal Democrats |Jemma |None|||
Pendle and Clitheroe|Liberal Democrats |Anna Fryer|None|2,039|4.4|-2.9
Manchester Central |Liberal Democrats |Chris Northwood|None|3,051|7.7|+4.6
Falkirk|Scottish Liberal Democrats|Tim McKay|None|1,092|2.6|-4.2
Glasgow East|Scottish Liberal Democrats|Matthew Clark|None|872|2.5|
